,,,,,,,,,,,,,,,,,,능력치,,,,,,,,,,,,,,,,,,전법,,,,,,개성,,,,,진형,,,,,,,,,,
10,윤상,300,남,194,213,0,260,0,72,,,천수,천수,미등장,없음,0,,51,46,60,66,53,건강,왕도,호적정비,2,보통남,보통남,0,,,윤상,,,1,화시,매성,,,,,법률,,,,,,,1,,,,,,,,
11,윤대목,301,남,211,230,0,270,0,38,,,업,업,미등장,없음,0,,4,9,34,50,48,건강,명리,호적정비,1,교활남,교활남,0,,,윤대목,,,1,,,,,,,동지,,,,,,,,1,,,,,,,
12,은번,1106,남,195,224,0,233,1,16,,,북해,북해,미등장,없음,0,,13,18,67,67,69,건강,명리,지역진흥,2,책사남,책사남,0,,,은번,,,1,혼란,충차,,,,,선동,법률,,,,,,,,,1,,,1,,
13,윤묵,243,남,183,212,0,239,0,80,,,자동,자동,미등장,없음,0,,11,15,65,76,62,건강,예교,병기강화,3,정중남,정중남,0,,,윤묵,,,1,정란,투석,,,,,석병,학자,,,,,,,,,,,1,,1,
14,윤례,822,남,165,184,0,222,1,16,,,복양,복양,미발견,없음,0,,61,68,47,44,43,건강,아도,장사강화,2,난폭남,난폭남,0,,,윤례,,,1,분전,교란,,,,,산전,,,,,,,,,,1,1,,,,
15,은례,1107,남,199,217,0,256,0,115,,,오,오,미등장,없음,0,,25,14,72,63,64,건강,명리,본초학,3,정중남,정중남,0,,,은례,,,1,혼란,도발,,,,,점술,,,,,,,,,1,,,,,,
16,우금,76,남,159,184,0,221,0,22,,,복양,복양,미발견,없음,0,,84,77,72,57,56,건강,패도,군제개혁,4,위엄남,위엄남,0,,,우금,,,1,확호부동,돌격,견제,저지,강습,,규율,진화,법률,교련,소침,1,1,,,1,,,,,,
17,우전,211,남,204,223,0,258,1,126,,,오,오,미등장,없음,0,,65,76,40,38,68,건강,왕도,병기강화,3,용장남,용장남,0,,,우전,,,1,돌격,제사,,,,,일심,불굴,,,,1,,,,,1,,,,1,
18,우독,915,남,155,184,184,193,1,7,장각,장각,남피,남피,일반,소방거수,95,,58,72,44,10,28,건강,아도,침략황폐,3,난폭남,난폭남,0,,,우독,,,1,급습,,,,,,적도,저돌,단려,난폭,,,,,,,1,,,,,
19,우미,823,남,160,184,0,194,1,8,,,회계,회계,미발견,없음,0,,71,67,33,38,41,건강,아도,방원강화,3,호걸남,호걸남,0,,,우미,,,1,화시,교란,,,,,개수,공명,직정,,,,,,1,1,,,,,,
20,위관,598,남,220,239,0,291,0,31,,,낙양,낙양,미등장,없음,0,,69,45,79,86,32,건강,명리,화계연구,4,책사남,책사남,0,,,위관,,,1,연노,진정,정란,투석,,,포박,진흥,법률,문화,,,,1,,,,,1,,1,
21,위자,1108,남,150,184,0,190,1,25,,,진류,진류,미발견,없음,0,,58,38,62,73,71,건강,예교,세출개선,3,보통남,보통남,0,,,위자,,,1,고무,치료,,,,,명성,모집,부호,절감,,,,,,1,,,,,,
22,위진,1109,남,176,195,0,250,0,21,,,진류,진류,미등장,없음,0,,33,26,81,72,68,건강,예교,공법개혁,4,정중남,정중남,0,,,위자,위자,,2,고무,진정,,,,,독려,간파,절약,,,,,,,1,,,,,1,
23,월길,812,남,190,210,0,227,1,49,,,천수,천수,미등장,없음,0,,68,82,16,20,25,건강,아도,침략황폐,4,난폭남,난폭남,0,,,월길,,,1,급습,대갈,,,,,강저,저돌,직정,,,,1,,,,1,,,,,
24,원유,488,남,150,184,184,193,0,95,하진,하진,낙양,낙양,일반,의조종사,100,,57,39,73,76,70,건강,예교,태학,3,정중남,정중남,0,,,원소,,,1,제사,,,,,,명성,문화,우유,,,,,1,,,,,,,,
25,원윤,169,남,163,184,0,199,1,140,,,여남,여남,재야,없음,0,,24,14,39,41,43,건강,명리,시설개발,1,책사남,책사남,0,,,원소,,,2,,,,,,,소심,우유,나약,,,,,,,1,,,,,,
26,염우,302,남,209,228,0,264,0,50,,,강릉,강릉,미등장,없음,0,,59,61,55,60,20,건강,아도,화계연구,2,교활남,교활남,0,,,염우,,,1,화시,매성,,,,,공명,,,,,,,,1,,,,,1,,
27,염온,1110,남,180,199,0,213,1,19,,,천수,천수,미등장,없음,0,,36,44,55,57,62,건강,왕도,추행강화,2,용장남,용장남,0,,,염온,,,1,,,,,,,담력,,,,,,,,,,,1,,,,
28,원환,786,남,165,184,0,225,0,35,,,여남,여남,미발견,없음,0,,30,17,72,83,83,건강,예교,호적정비,4,정중남,정중남,0,,,원환,,,1,고무,치료,진정,,,,태연,교화,소욕,,,,,,1,1,,,,,,
29,원희,33,남,176,190,0,207,1,101,,,여남,여남,미등장,없음,0,,66,51,68,65,63,건강,명리,병기강화,3,보통남,보통남,0,,,원소,원소,,2,연노,치료,정란,,,,동원,절감,특사,친오,소심,,,1,,,,,1,,,
30,염행,686,남,159,184,184,222,0,36,마등,마등,무위,무위,일반,없음,96,,73,84,61,58,60,건강,패도,추행강화,3,호걸남,호걸남,0,,,염행,,,1,급습,교란,,,,,호걸,과감,,,,1,,,,,,1,,,,
31,염유,491,남,168,189,0,227,0,40,,,계,계,미등장,없음,0,,71,57,70,73,78,건강,할거,안행강화,3,보통남,보통남,0,,,염유,,,1,돌격,제사,저지,,,,모집,향도,친오,,,,,1,,,1,,,,,
32,원술,32,남,155,184,184,199,1,140,하진,하진,낙양,낙양,일반,탕구장군,99,,44,65,68,15,42,건강,명리,상병벌모,3,거만남,거만남,83,,,원소,,,1,원가영광,업화,혼란,도발,매성,,모략,교사,징세,악명,낭비,1,,1,1,,,,,,,
33,원춘경,1111,남,177,191,0,204,1,96,,,여남,여남,미등장,없음,0,,60,45,43,41,42,건강,할거,방원강화,2,보통남,보통남,0,,,원소,,,2,고무,,,,,,동원,,,,,,,,1,,,,,,,
34,원상,34,남,179,193,0,207,1,101,,,여남,여남,미등장,없음,0,,63,72,42,40,73,건강,패도,시설개발,3,거만남,거만남,0,,,원소,원소,유씨,2,돌격,경파,도발,충차,,,붕벽,동원,저돌,경솔,오만,1,,,,,,,,1,,
35,원소,5,남,154,184,184,202,0,101,하진,하진,낙양,낙양,일반,군사장군,100,,81,69,70,73,92,건강,왕도,문사무비,3,거만남,거만남,78,유씨,,원소,,,1,원가위광,경파,치료,정란,충차,,독장,사역,명성,우유,오만,1,,,,1,,,1,1,,
36,염상,518,남,158,187,0,199,0,136,,,완,완,미등장,없음,0,,29,27,70,74,58,건강,예교,지역진흥,3,정중남,정중남,0,,,염상,,,1,투석,,,,,,동지,,,,,,,,,,,,,,1,
37,원담,35,남,173,187,0,205,1,86,,,여남,여남,미등장,없음,0,,60,69,30,37,59,건강,아도,군제개혁,3,보통남,보통남,0,,,원소,원소,,2,분전,저지,매성,,,,동원,분쇄,공명,직정,경망,,1,1,,,,,,,,
38,염포,170,남,163,187,0,231,0,18,,,한중,한중,미등장,없음,0,,31,25,81,79,70,건강,명리,정령철저,4,정중남,정중남,0,,,염포,,,1,치료,진정,,,,,교화,미도,절감,,,,,,,,1,,1,,,
39,원요,489,남,177,191,0,206,0,138,,,여남,여남,미등장,없음,0,,41,48,41,48,52,건강,명리,수군육성,1,보통남,보통남,0,,,원소,원술,,2,화시,구축,,,,,동원,탐욕,,,,,,1,,,,,,,,
40,왕위,460,남,163,192,0,208,1,45,,,양양,양양,미등장,없음,0,,60,70,62,50,64,건강,패도,성벽확장,3,보통남,보통남,0,,,왕위,,,1,저지,구축,강습,,,,지리,,,,,1,,1,,,,,,,,
41,왕이,777,여,177,196,0,235,0,21,,,천수,천수,미등장,없음,0,,72,51,82,63,72,건강,왕도,지세연구,4,현명녀,현명녀,0,,,왕이,,,1,기계구조,도발,고무,,,,재원,명경,,,,,,1,1,,,,,,,
42,왕윤,171,남,137,184,184,192,1,92,하진,하진,낙양,낙양,일반,중서령,100,,26,6,67,80,77,건강,명리,지역진흥,4,정중남,정중남,0,,,왕윤,,,1,저지,혼란,,,,,봉살,교사,명성,소심,소침,,,,,1,,,,,,
43,왕해,1112,남,163,187,0,199,0,133,,,복양,복양,미등장,없음,0,,24,20,57,64,46,건강,예교,종횡술,2,보통남,보통남,0,,,왕해,,,1,진정,,,,,,논객,,,,,,,,1,,,,,,,
44,왕관,1113,남,177,196,0,263,0,28,,,복양,복양,미등장,없음,0,,59,12,66,78,75,건강,왕도,지역순회,3,정중남,정중남,0,,,왕관,,,1,정란,,,,,,진흥,법률,친선,소욕,,,,,1,,,,1,,,
45,왕기,204,남,190,219,0,261,0,30,,,북해,북해,미등장,없음,0,,79,75,76,77,75,건강,왕도,화계연구,4,위엄남,위엄남,0,,,왕기,,,1,돌격,경파,업화,저지,충차,,붕벽,태연,진흥,농정,학자,1,1,,,,,1,,1,,
46,왕기,56,남,217,236,0,281,0,21,,,북해,북해,미등장,없음,0,,69,67,61,70,68,건강,할거,수군육성,3,보통남,보통남,0,,,왕기,,,1,급습,매성,강습,,,,장구,향도,,,,,1,,,,,,,1,,
47,왕광,519,남,150,184,184,190,1,97,하진,하진,호뢰관,호뢰관,일반,건무교위,100,,65,57,61,70,80,건강,할거,학익강화,3,보통남,보통남,0,,,왕광,,,1,분전,격려,매성,,,,운반,위무,여망,,,1,,,,1,,,,,,
48,왕업,128,남,220,239,0,280,0,33,,,무릉,무릉,미등장,없음,0,,32,6,35,68,50,건강,명리,묵수연구,2,교활남,교활남,0,,,왕업,,,1,,,,,,,소심,,,,,,,,1,,,,,,,
49,왕경,303,남,206,225,0,260,1,20,,,평원,평원,미등장,없음,0,,65,63,68,75,77,건강,예교,안행강화,3,보통남,보통남,0,,,왕경,,,1,제사,철벽,진정,,,,금강,명성,,,,,1,1,,,,,,,,
50,왕원희,575,여,217,231,0,268,0,34,,,하비,하비,미등장,없음,0,,24,18,80,72,86,건강,예교,학익강화,4,현명녀,현명녀,0,,,왕랑,왕숙,,3,고무,치료,투석,,,,재원,침착,,,,,,,,1,,,,,1,
51,왕항,304,남,184,213,0,254,1,71,,,성도,성도,미등장,없음,0,,72,60,61,62,63,건강,왕도,성벽확장,3,보통남,보통남,0,,,왕항,,,1,철벽,저지,고무,,,,견뢰,,,,,,,,1,,1,,,,,
52,왕혼,305,남,223,240,0,297,0,33,,,진양,진양,미등장,없음,0,,78,76,72,74,70,건강,할거,수군육성,3,보통남,보통남,0,,,왕창,왕창,,2,분전,견제,투석,구축,강습,,소탕,수전,교련,,,1,,1,,,,,,,1,
53,왕찬,151,남,177,193,0,217,0,30,,,복양,복양,미등장,없음,0,,6,3,79,80,57,건강,명리,태학,4,정중남,정중남,0,,,왕찬,,,1,고무,,,,,,시상,문화,학자,허약,,,,,,1,,,,,,
54,왕사,1114,남,219,238,0,256,1,79,,,성도,성도,미등장,없음,0,,58,43,61,74,81,건강,예교,운반개발,4,정중남,정중남,0,,,왕사,,,1,치료,진정,,,,,조달,인정,특사,친강,,,,,,1,1,,,,,
55,왕사,1115,남,168,187,0,246,0,34,,,복양,복양,미등장,없음,0,,26,30,63,77,28,건강,명리,지역진흥,3,책사남,책사남,0,,,왕사,,,1,업화,매성,,,,,조달,농정,격분,,,,,,1,,,,,1,,
56,왕자복,1116,남,160,184,184,200,1,89,하진,노식,업,업,일반,멸적교위,100,,54,57,58,52,65,건강,왕도,병참개혁,1,보통남,보통남,0,,,왕자복,,,1,저지,매성,,,,,인맥,,,,,1,,,,,,,,,,
57,왕수,306,남,168,187,0,218,0,39,,,북해,북해,미등장,없음,0,,53,27,76,78,64,건강,예교,지역진흥,3,정중남,정중남,0,,,왕수,,,1,고무,,,,,,운반,농정,안목,소욕,,,,1,,,,,,,,
58,왕융,307,남,234,253,0,305,0,40,,,하비,하비,미등장,없음,0,,57,36,72,55,46,건강,명리,수군육성,3,책사남,책사남,0,,,왕융,,,1,도발,정란,구축,강습,,,명성,문화,탐욕,,,,,1,,,,,1,,,
59,왕숙,600,남,195,209,0,256,0,34,,,하비,하비,미등장,없음,0,,35,21,76,78,74,건강,예교,태학,3,정중남,정중남,0,,,왕랑,왕랑,,2,업화,혼란,,,,,동지,학자,,,,,,,1,,,,,,,
60,왕준,150,남,206,225,0,285,0,32,,,낙양,낙양,미등장,없음,0,,81,73,78,71,76,건강,패도,수군육성,4,위엄남,위엄남,0,,,왕준,,,1,제사,경파,투석,구축,강습,시람,붕벽,조달,조타,위무,탐욕,1,,,,1,,1,,,1,
61,왕상,129,남,184,203,0,268,0,32,,,하비,하비,미등장,없음,0,,24,19,68,77,85,건강,예교,본초학,3,정중남,정중남,0,,,왕상,,,1,진정,,,,,,자비,명성,위무,인정,소욕,1,,,,,,,,,,
62,응소,886,남,150,184,184,204,0,95,하진,노식,진류,진류,일반,없음,100,,68,46,73,67,70,건강,명리,태학,3,정중남,정중남,0,,,응소,,,1,제사,업화,고무,,,,문화,위무,학자,,,,1,,,,,,,,,
63,왕상,916,남,167,186,0,211,0,54,,,성도,성도,미등장,없음,0,,18,21,74,75,73,건강,명리,지역진흥,3,보통남,보통남,0,,,왕보,,,1,업화,고무,진정,정란,,,명경,진흥,농정,,,,,,,1,,,1,,,
64,왕침,130,남,217,236,0,266,0,30,,,진양,진양,미등장,없음,0,,18,14,66,70,40,건강,명리,묵수연구,3,교활남,교활남,0,,,왕창,,,2,혼란,,,,,,인맥,사관,공명,,,,,,1,,,,,,,
65,구성,687,남,157,184,0,187,1,12,,,장사,장사,재야,없음,0,,56,68,38,29,53,건강,아도,봉시강화,2,난폭남,난폭남,0,,,구성,,,1,분전,경파,구축,,,,강탈,적도,공명,,,,1,,,,,,,,,
66,왕쌍,205,남,195,219,0,228,1,26,,,천수,천수,미등장,없음,0,,66,88,19,22,25,건강,아도,봉시강화,4,난폭남,난폭남,27,,,왕쌍,,,1,돌격,경파,대갈,매성,,,맹자,호걸,강건,저돌,직정,,1,,,,1,,,,,
67,왕충,543,남,152,186,0,214,0,35,,,장안,장안,미등장,없음,0,,44,57,21,27,20,건강,아도,병참개혁,1,교활남,교활남,0,,,왕충,,,1,,,,,,,절감,소심,동요,단려,,,1,,,,,,,,,
68,왕창,308,남,188,207,0,259,0,33,,,진양,진양,미등장,없음,0,,74,64,79,80,75,건강,왕도,성벽확장,4,위엄남,위엄남,0,,,왕창,,,1,제사,화시,저지,충차,,,후위,명성,법률,농정,학자,1,,1,,,,,,1,,
69,왕도,131,남,210,229,0,269,0,32,,,천수,천수,미등장,없음,0,,47,58,70,51,49,건강,명리,본초학,3,보통남,보통남,0,,,왕도,,,1,격려,진정,,,,,산전,,,,,,,,,,1,,,,,
70,왕돈,618,남,198,217,0,256,1,123,,,건업,건업,미등장,없음,0,,60,65,43,61,53,건강,예교,병참개혁,2,보통남,보통남,0,,,왕돈,,,1,,,,,,,조달,,,,,,1,,,,,,,,,
71,왕필,887,남,170,189,0,218,1,24,,,진류,진류,미등장,없음,0,,58,43,57,64,66,건강,왕도,지역순회,2,보통남,보통남,0,,,왕필,,,1,고무,,,,,,진흥,진화,주란,,,,,,1,,,,,,,
72,왕평,152,남,192,216,0,248,0,69,,,자동,자동,미등장,없음,0,,83,79,76,56,50,건강,할거,지세연구,4,보통남,보통남,0,,,왕평,,,1,연노,철벽,저지,진정,,,산전,담력,규율,독려,간파,1,,1,,,1,,,,,
73,왕보,309,남,171,190,0,219,1,76,,,성도,성도,미등장,없음,0,,61,40,78,77,73,건강,예교,시설개발,3,정중남,정중남,0,,,왕보,,,1,격려,철벽,투석,구축,,,불굴,축성,보좌,능리,,,,,1,,,,,,1,
74,왕방,1117,남,153,184,184,192,1,148,동탁,동탁,천수,천수,일반,없음,98,,63,68,28,22,35,건강,아도,운반개발,2,교활남,교활남,0,,,왕방,,,1,철벽,경파,,,,,공명,직정,,,,,1,,,,,,,,,
75,왕모,1118,남,174,198,0,226,0,64,,,성도,성도,미등장,없음,0,,28,16,62,75,71,건강,예교,세출개선,3,정중남,정중남,0,,,왕모,,,1,,,,,,,절약,교화,소욕,,,,,,,,,,,1,,
76,왕문,135,남,162,186,0,205,0,63,,,양평,양평,미등장,없음,0,,64,63,30,40,42,건강,할거,정령철저,2,보통남,보통남,0,,,왕문,,,1,돌격,,,,,,소심,소침,,,,,,1,,,,1,,,,
77,왕릉,620,남,172,191,0,251,1,34,,,진양,진양,미등장,없음,0,,74,64,71,83,73,건강,패도,학익강화,4,거만남,거만남,0,,,왕윤,,,2,제사,화시,경파,교란,,,일심,혈로,진흥,모집,경솔,1,,1,,1,,1,,,,
78,왕루,244,남,173,192,0,211,1,57,,,성도,성도,미등장,없음,0,,28,30,78,77,72,건강,예교,호적정비,3,정중남,정중남,0,,,왕루,,,1,치료,,,,,,동지,감지,신중,,,,,,,1,,,,,,
79,왕련,1119,남,175,201,0,224,0,59,,,완,완,미등장,없음,0,,17,9,69,82,66,건강,왕도,지역진흥,4,보통남,보통남,0,,,왕련,,,1,치료,,,,,,절약,조달,진흥,안목,,,,,1,,,,,1,,
80,왕랑,51,남,162,184,0,228,1,34,,,하비,하비,미발견,없음,0,,47,35,79,81,50,건강,예교,정령철저,4,정중남,정중남,0,,,왕랑,,,1,매성,,,,,,명성,인맥,학자,소심,격분,1,,,1,,,,,,,
81,어부라,688,남,150,184,0,195,0,138,,,진양,진양,재야,없음,0,,71,68,22,38,51,건강,패도,침략황폐,3,난폭남,난폭남,0,,,어부라,,,1,급습,화시,,,,,흉노,저돌,,,,,,,,,1,1,,,,
82,온회,689,남,178,197,0,222,0,23,,,진양,진양,미등장,없음,0,,62,36,73,86,73,건강,왕도,호적정비,4,정중남,정중남,0,,,온회,,,1,저지,정란,투석,구축,,,진흥,능리,부호,,,,,,,1,,,1,,1,
83,하안,492,남,190,209,0,249,1,36,,,완,완,미등장,없음,0,,6,27,71,68,4,건강,명리,지세연구,3,교활남,교활남,0,,,하진,,,3,혼란,매성,,,,,선동,학자,소심,오만,탐욕,,,,1,,,,,,1,
84,괴월,40,남,157,184,0,214,0,40,,,양양,양양,미발견,없음,0,,47,27,82,88,73,건강,할거,시설개발,4,정중남,정중남,0,,,괴량,,,1,업화,저지,매성,구축,,,명경,감지,책사,진흥,위무,1,,,,1,,,,,,
85,괴량,41,남,155,184,0,204,0,40,,,양양,양양,미발견,없음,0,,68,33,88,82,71,건강,명리,지세연구,4,정중남,정중남,0,,,괴량,,,1,연노,도발,정란,투석,시람,,숲전,봉살,교사,능리,견뢰,,,1,,,1,,1,,1,
86,가화,596,남,176,195,0,224,0,123,,,여강,여강,미등장,없음,0,,50,65,40,29,52,건강,왕도,어린강화,2,보통남,보통남,0,,,가화,,,1,철벽,교란,,,,,호위,,,,,1,,,,,,,,,,
87,화핵,467,남,217,236,0,278,0,131,,,오,오,미등장,없음,0,,19,23,71,78,68,건강,명리,지역진흥,3,정중남,정중남,0,,,화핵,,,1,충차,구축,,,,,신중,안목,사관,,,,,,,1,,,,1,,
88,아하소과,690,남,204,223,0,253,1,53,,,천수,천수,미등장,없음,0,,62,75,12,20,32,건강,아도,추행강화,3,난폭남,난폭남,0,,,아하소과,,,1,분전,교란,,,,,강저,저돌,경망,,,,,,,,1,1,,,,
89,가규,196,남,177,199,0,231,0,29,,,낙양,낙양,미등장,없음,0,,76,61,84,85,76,건강,왕도,성벽확장,4,정중남,정중남,0,,,가규,,,1,연노,견제,업화,투석,구축,,침착,간파,신중,축성,농정,1,,1,,1,,,,,1,
90,하의,414,남,161,184,184,195,1,7,장각,장량,허창,허창,일반,대방거수,99,,55,69,36,10,15,건강,아도,침략황폐,2,난폭남,난폭남,0,,,하의,,,1,분전,,,,,,강탈,적도,공명,,,,,,,,1,,,,,
91,화흠,195,남,157,184,0,231,0,10,,,평원,평원,미발견,없음,0,,25,33,82,83,14,건강,명리,세출개선,4,정중남,정중남,0,,,화흠,,,1,도발,매성,,,,,언독,명성,인맥,공명,,,,,1,,,,,,,
92,가후,42,남,147,184,0,223,0,20,,,무위,무위,미발견,없음,0,,86,48,97,85,57,건강,할거,상병벌모,2,책사남,책사남,38,,,가후,,,1,허유엄살,화시,도발,매성,정란,,궤계,침착,봉살,교사,책사,1,,1,1,,,,1,,,
93,곽혁,310,남,187,201,0,228,0,27,,,허창,허창,미등장,없음,0,,20,24,70,74,28,건강,명리,태학,3,교활남,교활남,0,,,곽가,곽가,,2,도발,매성,,,,,언독,,,,,,,1,,,,,,,,
94,곽원,787,남,167,191,0,202,1,100,,,남피,남피,미등장,없음,0,,66,73,36,33,45,건강,아도,추행강화,3,난폭남,난폭남,0,,,곽원,,,1,급습,교란,,,,,맹자,저돌,경솔,,,,1,,,,,1,,,,
95,곽가,43,남,170,189,0,207,0,25,,,허창,허창,미등장,없음,0,,62,15,98,84,80,건강,패도,지세연구,5,책사남,책사남,37,,,곽가,,,1,병귀신속,업화,저지,혼란,매성,,신안,질주,감지,해제,책사,1,,1,,,1,1,,,,
96,악환,480,남,196,220,0,251,0,63,,,건녕,건녕,미등장,없음,0,,65,82,42,21,40,건강,아도,봉시강화,4,난폭남,난폭남,0,,,악환,,,1,돌격,,,,,,숲전,호걸,저돌,직정,,,1,,,,1,,,,,
97,곽사,236,남,146,184,184,197,1,1,동탁,동탁,천수,천수,일반,분무교위,100,,65,76,13,14,13,건강,아도,침략황폐,3,난폭남,난폭남,0,,,곽사,,,1,분전,화시,매성,,,,징세,강탈,공명,악명,탐욕,1,1,,,,,,,,,
98,악취,140,남,157,184,0,197,1,138,,,완,완,미발견,없음,0,,53,66,58,39,50,건강,할거,군제개혁,2,보통남,보통남,0,,,악취,,,1,돌격,,,,,,교련,,,,,,,,1,,,,,,,
99,곽준,311,남,178,197,0,217,0,67,,,강릉,강릉,미등장,없음,0,,76,65,72,63,70,건강,왕도,묵수연구,3,정중남,정중남,0,,,곽준,,,1,철벽,고무,투석,,,,담력,견뢰,감수,,,,,1,1,,,,,,1,
100,학소,77,남,185,204,0,229,1,22,,,진양,진양,미등장,없음,0,,87,79,78,62,68,건강,패도,묵수연구,4,용장남,용장남,0,,,학소,,,1,견성철벽,견제,저지,정란,충차,투석,봉살,절약,위무,견뢰,개수,,,,1,,,,1,1,1,
101,곽여왕,573,여,184,202,0,235,0,26,,,업,업,미등장,없음,0,,22,6,70,64,68,건강,패도,본초학,2,요염녀,요염녀,0,,,곽여왕,,,1,혼란,매성,,,,,재원,,,,,,,,,1,,,,,,
102,악진,78,남,159,188,0,218,0,23,,,복양,복양,미등장,없음,0,,80,84,53,51,65,건강,패도,병기강화,4,용장남,용장남,0,,,악진,,,1,돌격,경파,교란,충차,,,붕벽,일심,금강,강건,소욕,1,,,,,,1,,1,,
103,곽석,804,남,158,184,0,187,1,10,,,계양,계양,재야,없음,0,,58,62,43,32,40,건강,아도,침략황폐,2,호걸남,호걸남,0,,,곽석,,,1,화시,,,,,,적도,저돌,난폭,,,,1,,,,,,,,,
104,악침,320,남,196,210,0,257,1,23,,,복양,복양,미등장,없음,0,,72,75,40,42,55,건강,패도,어린강화,3,보통남,보통남,0,,,악진,악진,,2,돌격,경파,,,,,강건,,,,,1,,,,,,1,,,,
105,곽도,79,남,155,184,0,205,1,111,,,허창,허창,미발견,없음,0,,56,50,82,68,40,건강,명리,병기강화,4,책사남,책사남,0,,,곽도,,,1,업화,혼란,충차,,,,선동,공명,나약,탐욕,,,1,,,,,,,1,,
106,곽마,143,남,239,253,0,280,0,132,,,건안,건안,미등장,없음,0,,68,71,47,21,50,건강,할거,장사강화,3,호걸남,호걸남,0,,,곽마,,,1,급습,대갈,강습,,,,숲전,동원,,,,,,,,,1,,,,,
107,학보,1120,남,185,209,0,233,1,40,,,신야,신야,미등장,없음,0,,54,36,42,68,25,건강,할거,지역순회,2,교활남,교활남,0,,,학보,,,1,매성,구축,,,,,동요,우유,경망,,,,,,1,,,,,,,
108,학맹,691,남,156,184,0,197,1,5,,,진양,진양,미발견,없음,0,,60,66,41,34,38,건강,아도,병참개혁,2,교활남,교활남,0,,,학맹,,,1,급습,,,,,,공명,나약,,,,,1,,,,,,,,,
109,곽유지,248,남,190,209,0,259,0,80,,,완,완,미등장,없음,0,,13,9,66,78,61,건강,예교,정령철저,3,정중남,정중남,0,,,곽유지,,,1,,,,,,,자비,소욕,소심,,,,,,,,,,1,,,
110,곽익,312,남,207,221,0,270,0,67,,,강릉,강릉,미등장,없음,0,,72,69,69,72,74,건강,왕도,묵수연구,3,용장남,용장남,0,,,곽준,곽준,,2,연노,철벽,저지,투석,,,숲전,불굴,간파,친만,,,,1,1,,1,,,,1,
111,곽회,206,남,187,206,0,255,0,20,,,진양,진양,미등장,없음,0,,87,78,82,75,76,건강,패도,지세연구,4,용장남,용장남,92,,,곽회,,,1,불요불굴,분전,업화,저지,진정,,견수,산전,후위,불굴,신중,1,1,,1,,1,,,,,
112,하후위,238,남,204,218,0,253,0,26,,,허창,허창,미등장,없음,0,,71,73,49,58,65,건강,패도,추행강화,3,보통남,보통남,0,,,하후돈,하후연,,2,돌격,도발,,,,,모집,,,,,,1,,,,,1,,,,
113,하후영,1121,남,207,217,0,219,1,26,,,허창,허창,미등장,없음,0,,43,40,66,52,62,건강,패도,추행강화,2,보통남,보통남,0,,,하후돈,하후연,,2,고무,,,,,,불굴,,,,,,1,,,,,1,,,,
